emp_no,to_date,first_name,last_name,title
10001,1/1/9999,Georgi,Facello,Senior Engineer
10004,1/1/9999,Chirstian,Koblick,Senior Engineer
10005,1/1/9999,Kyoichi,Maliniak,Senior Staff
10006,1/1/9999,Anneke,Preusig,Senior Engineer
10009,1/1/9999,Sumant,Peac,Senior Engineer
10018,1/1/9999,Kazuhide,Peha,Senior Engineer
10019,1/1/9999,Lillian,Haddadi,Staff
10020,1/1/9999,Mayuko,Warwick,Engineer
10022,1/1/9999,Shahaf,Famili,Engineer
10023,1/1/9999,Bojan,Montemayor,Engineer
10026,1/1/9999,Yongqiao,Berztiss,Senior Engineer
10035,1/1/9999,Alain,Chappelet,Senior Engineer
10047,1/1/9999,Zvonko,Nyanchama,Senior Engineer
10051,1/1/9999,Hidefumi,Caine,Senior Engineer
10053,1/1/9999,Sanjiv,Zschoche,Senior Staff
10057,1/1/9999,Ebbe,Callaway,Senior Engineer
10058,1/1/9999,Berhard,McFarlin,Senior Staff
10059,1/1/9999,Alejandro,McAlpine,Senior Staff
10063,1/1/9999,Gino,Leonhardt,Senior Engineer
10066,1/1/9999,Kwee,Schusler,Senior Engineer
10067,1/1/9999,Claudi,Stavenow,Senior Engineer
10070,1/1/9999,Reuven,Garigliano,Technique Leader
10072,1/1/9999,Hironoby,Sidou,Senior Engineer
10074,1/1/9999,Mokhtar,Bernatsky,Technique Leader
10076,1/1/9999,Erez,Ritzmann,Senior Engineer
10088,1/1/9999,Jungsoon,Syrzycki,Senior Staff
10091,1/1/9999,Amabile,Gomatam,Senior Engineer
10096,1/1/9999,Jayson,Mandell,Engineer
10097,1/1/9999,Remzi,Waschkowski,Senior Staff
10100,1/1/9999,Hironobu,Haraldson,Senior Staff
10103,1/1/9999,Akemi,Birch,Engineer
10106,1/1/9999,Eben,Aingworth,Senior Engineer
10126,1/1/9999,Kayoko,Valtorta,Senior Staff
10127,1/1/9999,Subir,Baja,Senior Engineer
10129,1/1/9999,Armond,Peir,Technique Leader
10130,1/1/9999,Nishit,Casperson,Senior Engineer
10134,1/1/9999,Diederik,Siprelle,Senior Engineer
10138,1/1/9999,Perry,Shimshoni,Senior Engineer
10150,1/1/9999,Zhenbing,Perng,Senior Engineer
10153,1/1/9999,Heekeun,Majewski,Assistant Engineer
10157,1/1/9999,Nigel,Aloisi,Senior Engineer
10159,1/1/9999,Serif,Buescher,Senior Engineer
10160,1/1/9999,Debatosh,Khasidashvili,Senior Staff
10163,1/1/9999,Karsten,Szmurlo,Senior Staff
10166,1/1/9999,Samphel,Siegrist,Engineer
10183,1/1/9999,Mechthild,Bonifati,Staff
10194,1/1/9999,Josyula,Hofmeyr,Senior Staff
10196,1/1/9999,Marc,Hellwagner,Staff
10198,1/1/9999,Pranav,Furedi,Senior Engineer
10203,1/1/9999,Steen,Escriba,Senior Staff
10205,1/1/9999,Mabhin,Leijenhorst,Senior Engineer
10207,1/1/9999,Girolamo,Anandan,Senior Engineer
10215,1/1/9999,Xiaobin,Duclos,Senior Staff
10219,1/1/9999,Genta,Kolvik,Senior Staff
10224,1/1/9999,Leon,Trogemann,Senior Engineer
10228,1/1/9999,Karoline,Cesareni,Senior Staff
10230,1/1/9999,Clyde,Vernadat,Senior Staff
10233,1/1/9999,Lein,Vendrig,Senior Staff
10239,1/1/9999,Nikolaos,Llado,Staff
10240,1/1/9999,Remko,Maccarone,Engineer
10248,1/1/9999,Frederique,Tempesti,Senior Staff
10249,1/1/9999,Marie,Boreale,Senior Engineer
10258,1/1/9999,Basil,Ishibashi,Senior Engineer
10262,1/1/9999,Mahendra,Maraist,Staff
10272,1/1/9999,Yishai,Cannane,Staff
10281,1/1/9999,Moty,Kusakari,Senior Engineer
10282,1/1/9999,Hercules,Benzmuller,Engineer
10283,1/1/9999,Kauko,Birjandi,Senior Engineer
10284,1/1/9999,Masali,Murrill,Engineer
10295,1/1/9999,Kristine,Velardi,Senior Staff
10298,1/1/9999,Dietrich,DuCasse,Staff
10306,1/1/9999,Heng,Kilgour,Staff
10307,1/1/9999,Nikolaos,Leaver,Engineer
10322,1/1/9999,Isamu,Dahlbom,Senior Engineer
10325,1/1/9999,Arunachalam,Badr,Senior Staff
10326,1/1/9999,Masali,Czap,Staff
10328,1/1/9999,Serenella,Kawashima,Engineer
10333,1/1/9999,Snehasis,Dymetman,Senior Engineer
10340,1/1/9999,Djelloul,Laventhal,Senior Staff
10343,1/1/9999,Dinah,Syrzycki,Senior Engineer
10347,1/1/9999,Pradeep,Kaminger,Staff
10349,1/1/9999,Oksana,Brodie,Senior Staff
10353,1/1/9999,Phule,Hammerschmidt,Senior Staff
10355,1/1/9999,Satyanarayana,Cochrane,Staff
10356,1/1/9999,Vasilis,Standera,Senior Staff
10358,1/1/9999,Qunsheng,Tagansky,Technique Leader
10364,1/1/9999,Nakhoon,Dengi,Senior Engineer
10367,1/1/9999,Hyuckchul,Gini,Senior Staff
10372,1/1/9999,Anneli,Frijda,Technique Leader
10377,1/1/9999,Marl,Grospietsch,Senior Engineer
10387,1/1/9999,Parto,Wrigley,Senior Staff
10388,1/1/9999,Hironoby,Kaiser,Staff
10389,1/1/9999,Make,Peir,Technique Leader
10396,1/1/9999,Sibyl,Rahier,Senior Engineer
10397,1/1/9999,Irena,Reutenauer,Technique Leader
10402,1/1/9999,Volkmar,Ebeling,Technique Leader
10404,1/1/9999,Prodip,Rosti,Senior Engineer
10407,1/1/9999,Ulf,Siepmann,Senior Staff
10413,1/1/9999,Danel,Impagliazzo,Senior Staff
10418,1/1/9999,Candida,Porotnikoff,Staff
10422,1/1/9999,Greger,Rubsam,Engineer
10426,1/1/9999,Arunas,Luce,Technique Leader
10429,1/1/9999,Martien,Improta,Senior Engineer
10432,1/1/9999,Hisao,Tiemann,Senior Staff
10433,1/1/9999,Reuven,Dengi,Engineer
10451,1/1/9999,Bodh,Ranta,Senior Engineer
10453,1/1/9999,Tsvetan,Matzel,Senior Staff
10463,1/1/9999,Ung,Zaiane,Staff
10477,1/1/9999,Guoxiang,Trogemann,Senior Engineer
10486,1/1/9999,Amstein,Kossowski,Senior Engineer
10494,1/1/9999,Yakkov,Servieres,Senior Engineer
10497,1/1/9999,Pramod,Rabehasaina,Senior Engineer
10499,1/1/9999,Maik,Luft,Senior Staff
10503,1/1/9999,Dannz,Pell,Engineer
10504,1/1/9999,Xiong,Varker,Staff
10509,1/1/9999,Abdelwaheb,Riesenhuber,Senior Staff
10512,1/1/9999,Udi,Gihr,Senior Staff
10517,1/1/9999,Tiina,Speek,Senior Staff
10522,1/1/9999,Marke,Cesareni,Senior Staff
10529,1/1/9999,Ymte,Yetto,Assistant Engineer
10531,1/1/9999,Oguz,Gimbel,Staff
10542,1/1/9999,Yannis,Couchot,Senior Engineer
10548,1/1/9999,Ramalingam,Gunderson,Senior Staff
10552,1/1/9999,Kazuhito,Shiratori,Senior Engineer
10564,1/1/9999,Jianhao,Thisen,Senior Engineer
10568,1/1/9999,Gao,Poulakidas,Staff
10586,1/1/9999,Kirk,Vuskovic,Senior Engineer
10593,1/1/9999,Falguni,Kenevan,Senior Engineer
10596,1/1/9999,Sanjit,Coors,Senior Staff
10603,1/1/9999,Wayne,Restivo,Staff
10610,1/1/9999,Irena,Roccetti,Engineer
10614,1/1/9999,Gila,Ozeri,Senior Engineer
10615,1/1/9999,Keung,Delgrande,Senior Staff
10623,1/1/9999,Aleksander,Danlos,Senior Engineer
10624,1/1/9999,Sham,Gyorkos,Technique Leader
10628,1/1/9999,Krisda,Krogh,Senior Engineer
10630,1/1/9999,Bezalel,Katzenelson,Engineer
10631,1/1/9999,Inderjeet,Chaudhuri,Engineer
10634,1/1/9999,Nahid,Chepyzhov,Senior Engineer
10636,1/1/9999,Saeko,Porotnikoff,Staff
10639,1/1/9999,Pramod,Erol,Senior Engineer
